measurement,family,n16_c2_s101,n16_c2_s102,n16_c2_s103,n24_c4_s201,n24_c4_s202,n24_c4_s203,n32_c4_s301,n32_c4_s302,n32_c4_s303,n48_c4_s401,n48_c4_s402,n48_c4_s403,n32_c6_s501,n16_c4_s601,n32_c4_spur_s301
Unified Pipeline:s_score,n16_c2,0.870193,0.870193,0.870193,0.979504,0.979504,0.979504,0.845184,0.845184,0.845184,0.965265,0.965265,0.965265,0.845184,0.870193,0.845184
Finite Sheaves:consistent_gluing,n16_c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finite Sheaves:inconsistent_gluing,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Finite Sheaves:n_opens,n16_c2,16.0,16.0,16.0,24.0,24.0,24.0,32.0,32.0,32.0,48.0,48.0,48.0,32.0,16.0,32.0
Paper Metrics:dimension,n16_c2,16.0,16.0,16.0,24.0,24.0,24.0,32.0,32.0,32.0,48.0,48.0,48.0,32.0,16.0,32.0
LQG Data Space:n_edges,n16_c2,16.0,16.0,16.0,24.0,24.0,24.0,32.0,32.0,32.0,48.0,48.0,48.0,32.0,16.0,32.0
LQG Data Space:area_ratio,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LQG Data Space:relabel_invariant,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LQG Data Space:area_information,n16_c2,0.54955,0.54955,0.54955,0.609375,0.609375,0.609375,0.700599,0.700599,0.700599,0.757282,0.757282,0.757282,0.700599,0.54955,0.700599
Logic DSL:monotonic,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Logic DSL:and_imply_truth,n16_c2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Logic DSL:excluded_middle,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Multi Dataset:dataset_dimension,n16_c2,16.0,16.0,16.0,24.0,24.0,24.0,32.0,32.0,32.0,48.0,48.0,48.0,32.0,16.0,32.0
Multi Dataset:n_synthetic_samples,n16_c2,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Bio Microtubules:order_parameter,n16_c2,0.5,0.5,0.5,0.333333,0.333333,0.333333,0.0,0.0,0.0,0.333333,0.333333,0.333333,1.0,1.0,0.0
Bio Microtubules:lattice_size,n16_c2,16.0,16.0,16.0,24.0,24.0,24.0,32.0,32.0,32.0,48.0,48.0,48.0,32.0,16.0,32.0
Bio Microtubules:soliton_stability,n16_c2,0.852191,0.852191,0.852191,0.891377,0.891377,0.891377,0.900482,0.900482,0.900482,0.953713,0.953713,0.953713,0.900482,0.852191,0.900482
Bio Microtubules:penrose_tau,n16_c2,0.333333,0.333333,0.333333,0.428571,0.428571,0.428571,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.333333,0.5
QET Vacuum:zpe_entropy,n16_c2,1.0,1.0,1.0,0.988699,0.988699,0.988699,0.954434,0.954434,0.954434,0.988699,0.988699,0.988699,0.954434,1.0,0.954434
QET Vacuum:correlation_strength,n16_c2,0.729641,0.729641,0.729641,0.799951,0.799951,0.799951,0.81764,0.81764,0.81764,0.842592,0.842592,0.842592,0.81764,0.729641,0.81764
QET Vacuum:qet_decorrelation,n16_c2,0.185207,0.185207,0.185207,0.114451,0.114451,0.114451,0.085752,0.085752,0.085752,0.070804,0.070804,0.070804,0.085752,0.185207,0.085752
QET Vacuum:qet_success,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Auto Symmetry Discovery:reflection_sensitivity,n16_c2,0.854996,0.854996,0.854996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Auto Symmetry Discovery:shift_invariance,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Auto Symmetry Discovery:n_spurious_layers,n16_c2,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Auto Symmetry Discovery:n_probes,n16_c2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Auto Symmetry Discovery:data_profile_mean,n16_c2,0.289011,0.289011,0.289011,0.858607,0.858607,0.858607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.541745,1.0
Auto Symmetry Discovery:data_profile_std,n16_c2,0.400777,0.400777,0.400777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.747746,1.0
Auto Symmetry Discovery:max_divergence,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lattice Phonons:n_dof,n16_c2,32.0,32.0,32.0,32.0,32.0,32.0,50.0,50.0,50.0,72.0,72.0,72.0,50.0,32.0,50.0
Lattice Phonons:n_vacancies,n16_c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lattice Phonons:exists,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lattice Phonons:lattice_sites,n16_c2,16.0,16.0,16.0,16.0,16.0,16.0,25.0,25.0,25.0,36.0,36.0,36.0,25.0,16.0,25.0
Structural Experiments:mlp_accuracy,n16_c2,0.0,0.0,0.0,0.001875,0.001875,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,0.000833,0.001875,0.0
Structural Experiments:cnn_accuracy,n16_c2,0.005,0.005,0.005,0.00125,0.00125,0.00125,0.000625,0.000625,0.000625,0.0025,0.0025,0.0025,0.001389,0.0,0.000625
Structural Experiments:wdw_params_ratio,n16_c2,0.000897,0.000897,0.000897,0.000713,0.000713,0.000713,0.00057,0.00057,0.00057,0.000377,0.000377,0.000377,0.00057,0.000897,0.00057
